timestamps,TP9,AF7,AF8,TP10,Right AUX
1711204388.994,-1000.000,-1000.000,70.312,964.844,0.000
1711204388.998,-1000.000,-1000.000,-1000.000,964.844,0.000
1711204389.002,-1000.000,-1000.000,-149.902,964.844,0.000
1711204389.005,-1000.000,-1000.000,983.887,964.844,0.000
1711204389.009,-1000.000,-1000.000,-967.773,964.844,0.000
1711204389.013,-1000.000,-1000.000,546.875,964.844,0.000
1711204389.017,-1000.000,-1000.000,-920.898,964.844,0.000
1711204389.021,-1000.000,-1000.000,-421.387,964.844,0.000
1711204389.025,-1000.000,-1000.000,904.297,964.844,0.000
1711204389.029,-1000.000,-1000.000,-933.105,964.844,0.000
1711204389.033,-1000.000,-1000.000,514.160,964.844,0.000
1711204389.037,-1000.000,-1000.000,-902.832,964.844,0.000
1711204389.041,-1000.000,-1000.000,-698.242,964.844,0.000
1711204389.045,-1000.000,-1000.000,626.465,964.844,0.000
1711204389.048,-1000.000,-1000.000,-875.000,964.844,0.000
1711204389.052,-1000.000,-1000.000,137.695,964.844,0.000
1711204389.056,-1000.000,-1000.000,-982.910,964.844,0.000
1711204389.060,-1000.000,-1000.000,-1000.000,964.844,0.000
1711204389.064,-1000.000,-1000.000,-369.141,964.844,0.000
1711204389.068,-1000.000,-1000.000,935.059,964.844,0.000
1711204389.072,-1000.000,-1000.000,-12.207,964.844,0.000
1711204389.076,-992.676,-1000.000,-1000.000,964.844,0.000
1711204389.080,-955.566,-1000.000,-1000.000,964.844,0.000
1711204389.084,-1000.000,-1000.000,-514.160,964.844,0.000
1711204389.088,-138.672,-1000.000,916.992,964.844,0.000
1711204389.091,-985.840,-1000.000,574.219,964.844,0.000
1711204389.095,944.824,-1000.000,-722.168,964.844,0.000
1711204389.099,942.383,-1000.000,-1000.000,964.844,0.000
1711204389.103,969.727,-1000.000,-407.227,964.844,0.000
1711204389.107,964.355,-1000.000,985.840,964.844,0.000
1711204389.111,964.355,-1000.000,339.844,964.844,0.000
1711204389.115,964.355,-1000.000,-1000.000,964.844,0.000
1711204389.119,964.355,-1000.000,-1000.000,964.844,0.000
1711204389.123,964.355,-1000.000,139.648,964.844,0.000
1711204389.127,964.355,-1000.000,-995.117,964.844,0.000
1711204389.130,964.355,-1000.000,-992.676,964.844,0.000
1711204389.134,964.355,-1000.000,33.691,964.844,0.000
1711204389.138,964.355,-1000.000,-1000.000,964.844,0.000
1711204389.142,964.355,-1000.000,86.914,964.844,0.000
1711204389.146,964.355,-1000.000,-939.453,964.844,0.000
1711204389.150,964.355,-1000.000,948.242,964.844,0.000
1711204389.154,964.355,-1000.000,906.250,964.844,0.000
1711204389.158,964.355,-1000.000,541.016,964.844,0.000
1711204389.162,964.355,-1000.000,781.250,964.844,0.000
1711204389.166,964.355,-1000.000,977.539,964.844,0.000
1711204389.170,964.355,-1000.000,-993.652,964.844,0.000
1711204389.173,964.355,-1000.000,783.691,964.844,0.000
1711204389.177,964.355,-1000.000,-189.453,964.844,0.000
1711204389.181,964.355,-1000.000,325.195,964.844,0.000
1711204389.185,964.355,-1000.000,-941.406,964.844,0.000
1711204389.189,964.355,-1000.000,927.246,964.844,0.000
1711204389.193,964.355,-938.477,997.559,964.844,0.000
1711204389.197,964.355,-1000.000,321.777,964.844,0.000
1711204389.201,963.867,-212.402,396.484,964.844,0.000
1711204389.205,964.355,-961.914,-983.887,964.844,0.000
1711204389.209,964.355,947.266,942.871,964.844,0.000
1711204389.213,963.867,938.477,987.305,964.844,0.000
1711204389.216,964.355,971.680,-272.461,964.844,0.000
1711204389.220,964.355,964.844,-400.391,964.844,0.000
1711204389.224,964.355,964.844,942.871,964.844,0.000
1711204389.228,963.867,964.844,954.590,964.844,0.000
1711204389.232,963.867,964.844,-956.055,964.844,0.000
1711204389.236,964.355,964.844,-53.711,964.844,0.000
1711204389.240,964.355,964.844,-301.270,964.844,0.000
1711204389.244,964.355,964.844,989.258,964.844,0.000
1711204389.248,964.355,964.844,931.641,964.844,0.000
1711204389.252,963.867,964.844,-933.105,964.844,0.000
1711204389.255,964.355,964.844,67.383,964.844,0.000
1711204389.259,964.355,964.844,-928.711,964.844,0.000
1711204389.263,963.867,964.844,320.801,964.844,0.000
1711204389.267,963.867,964.844,-883.301,964.844,0.000
1711204389.271,963.867,964.844,661.621,964.844,0.000
1711204389.275,964.355,964.844,-510.742,964.844,0.000
1711204389.279,964.355,965.332,-1000.000,964.844,0.000
1711204389.283,964.355,965.332,-614.258,964.844,0.000
1711204389.287,964.355,964.844,776.855,964.844,0.000
1711204389.291,963.867,964.844,538.574,964.844,0.000
1711204389.295,964.355,965.332,-824.219,964.844,0.000
1711204389.298,964.355,965.332,-1000.000,964.844,0.000
1711204389.302,964.355,964.844,-744.629,964.844,0.000
1711204389.306,964.355,964.844,630.859,964.844,0.000
1711204389.310,964.355,964.844,604.980,964.844,0.000
1711204389.314,964.355,964.844,-830.566,964.844,0.000
1711204389.318,964.355,965.332,-1000.000,964.844,0.000
1711204389.322,964.355,965.332,-1000.000,964.844,0.000
1711204389.326,964.355,964.844,-167.969,964.844,0.000
1711204389.330,964.355,964.844,285.156,964.844,0.000
1711204389.334,964.355,965.332,-931.152,964.844,0.000
1711204389.338,964.355,964.844,-998.047,964.844,0.000
1711204389.341,964.355,964.844,-1000.000,964.844,0.000
1711204389.345,964.355,964.844,-481.934,964.844,0.000
1711204389.349,963.867,964.844,53.223,964.844,0.000
1711204389.353,964.355,964.844,-876.953,964.844,0.000
1711204389.357,964.355,964.844,-993.652,964.844,0.000
1711204389.361,964.355,964.844,-1000.000,964.844,0.000
1711204389.365,964.355,979.004,-496.582,964.844,0.000
1711204389.369,964.355,890.137,687.500,964.844,0.000
1711204389.373,964.355,-908.203,-234.375,964.844,0.000
1711204389.377,964.355,493.652,-1000.000,964.844,0.000
1711204389.380,964.355,-934.082,-799.316,964.844,0.000
1711204389.384,964.355,-1000.000,361.816,979.492,0.000
1711204389.388,964.355,-948.242,-955.078,892.578,0.000
1711204389.392,964.355,-1000.000,892.090,-920.410,0.000
1711204389.396,964.355,-1000.000,-323.730,563.477,0.000
1711204389.400,964.355,-1000.000,-871.094,-874.512,0.000
1711204389.404,964.355,-1000.000,442.383,-1000.000,0.000
1711204389.408,964.355,-1000.000,-925.781,-943.848,0.000
1711204389.412,964.355,-1000.000,760.742,-1000.000,0.000
1711204389.416,964.355,-1000.000,-437.500,-1000.000,0.000
1711204389.420,964.355,-1000.000,-1000.000,-1000.000,0.000
1711204389.423,964.355,-1000.000,50.781,-1000.000,0.000
1711204389.427,964.355,-1000.000,-916.992,-1000.000,0.000
1711204389.431,964.355,-1000.000,724.609,-1000.000,0.000
1711204389.435,964.355,-1000.000,-418.945,-1000.000,0.000
1711204389.439,964.355,-1000.000,-1000.000,-1000.000,0.000
1711204389.443,964.355,-1000.000,-280.273,-1000.000,0.000
1711204389.447,964.355,-1000.000,-985.840,-1000.000,0.000
1711204389.451,964.355,-1000.000,820.801,-1000.000,0.000
1711204389.455,964.355,-1000.000,-351.562,-1000.000,0.000
1711204389.459,964.355,-1000.000,-1000.000,-1000.000,0.000
1711204389.463,964.355,-1000.000,-468.262,-1000.000,0.000
1711204389.466,964.355,-1000.000,828.125,-1000.000,0.000
1711204389.470,964.355,-1000.000,988.281,-1000.000,0.000
1711204389.474,964.355,-1000.000,-129.883,-1000.000,0.000
1711204389.478,964.355,-1000.000,-1000.000,-1000.000,0.000
1711204389.482,964.355,-1000.000,-557.617,-1000.000,0.000
1711204389.486,964.355,-1000.000,740.723,-1000.000,0.000
1711204389.490,964.355,-1000.000,-999.023,-1000.000,0.000
1711204389.494,964.355,-1000.000,-173.340,-1000.000,0.000
1711204389.498,964.355,-939.941,-1000.000,-1000.000,0.000
1711204389.502,964.355,-1000.000,-893.555,-1000.000,0.000
1711204389.505,964.355,-197.754,275.391,-1000.000,0.000
1711204389.509,964.355,-958.008,-955.078,-1000.000,0.000
1711204389.513,964.355,945.312,-180.176,-1000.000,0.000
