timestamps,TP9,AF7,AF8,TP10,Right AUX
1711108240.126,-1000.000,-770.996,-808.105,-1000.000,0.000
1711108240.130,-712.891,308.594,460.938,-465.820,0.000
1711108240.134,653.809,-961.426,-882.812,861.328,0.000
1711108240.138,-831.543,-1000.000,-1000.000,-878.906,0.000
1711108240.142,267.578,-87.402,-213.867,201.172,0.000
1711108240.146,-1000.000,-817.871,-896.484,-1000.000,0.000
1711108240.150,-955.078,519.043,712.402,-720.215,0.000
1711108240.154,327.148,-841.797,-660.156,668.945,0.000
1711108240.158,-795.410,-1000.000,-1000.000,-831.055,0.000
1711108240.161,416.504,-226.562,-196.289,163.086,0.000
1711108240.165,-914.062,-902.832,-964.355,-1000.000,0.000
1711108240.169,-1000.000,718.750,930.664,-957.520,0.000
1711108240.173,50.293,-658.203,-341.797,332.520,0.000
1711108240.177,-827.148,-1000.000,-1000.000,-781.738,0.000
1711108240.181,604.980,-199.707,-197.266,139.160,0.000
1711108240.185,-741.211,-955.566,991.699,-1000.000,0.000
1711108240.189,-1000.000,904.297,-960.938,-1000.000,0.000
1711108240.193,-151.855,-387.695,-75.195,51.270,0.000
1711108240.197,-934.082,-1000.000,-1000.000,-772.949,0.000
1711108240.200,864.258,-217.285,-359.375,294.922,0.000
1711108240.204,-440.918,973.633,915.527,-965.820,0.000
1711108240.208,-1000.000,-943.848,-905.762,-1000.000,0.000
1711108240.212,-170.410,-17.578,114.746,-129.395,0.000
1711108240.216,-992.676,-1000.000,-1000.000,-819.336,0.000
1711108240.220,-977.051,-364.258,-563.477,483.887,0.000
1711108240.224,-148.926,911.133,805.664,-874.512,0.000
1711108240.228,-1000.000,-896.484,-861.816,-1000.000,0.000
1711108240.232,-172.852,192.871,187.500,-229.980,0.000
1711108240.236,990.723,-1000.000,-1000.000,-901.855,0.000
1711108240.240,-937.500,-471.680,-803.711,717.773,0.000
1711108240.243,55.176,883.789,559.570,-661.133,0.000
1711108240.247,-1000.000,-884.766,-812.500,-1000.000,0.000
1711108240.251,-288.574,192.383,152.832,-197.266,0.000
1711108240.255,949.219,-1000.000,-1000.000,-961.914,0.000
1711108240.259,-911.621,-830.078,-1000.000,925.781,0.000
1711108240.263,212.402,524.414,216.797,-358.887,0.000
1711108240.267,-1000.000,-805.176,-771.484,-1000.000,0.000
1711108240.271,-463.867,145.508,210.449,-183.105,0.000
1711108240.275,886.719,-1000.000,-1000.000,995.117,0.000
1711108240.279,-888.184,-1000.000,-1000.000,-962.402,0.000
1711108240.283,204.102,126.953,-16.113,-75.195,0.000
1711108240.286,-1000.000,-769.531,-789.062,-1000.000,0.000
1711108240.290,-679.688,288.086,400.879,-368.652,0.000
1711108240.294,698.242,-965.820,-912.598,911.621,0.000
1711108240.298,-839.355,-1000.000,-1000.000,-903.320,0.000
1711108240.302,199.219,-102.539,-190.918,116.211,0.000
1711108240.306,-1000.000,-807.617,-864.258,-1000.000,0.000
1711108240.310,-943.359,423.340,619.141,-566.895,0.000
1711108240.314,329.102,-911.621,-764.160,812.500,0.000
1711108240.318,-788.574,-1000.000,-1000.000,-860.840,0.000
1711108240.322,337.402,-204.590,-208.496,182.617,0.000
1711108240.326,-955.078,-874.512,-943.359,-1000.000,0.000
1711108240.329,-1000.000,646.973,861.328,-845.215,0.000
1711108240.333,44.434,-737.793,-459.961,505.859,0.000
1711108240.337,-806.641,-1000.000,-1000.000,-803.223,0.000
1711108240.341,520.020,-195.801,-178.711,145.996,0.000
1711108240.345,-834.961,-971.191,-995.117,-1000.000,0.000
1711108240.349,-1000.000,949.219,-978.516,-1000.000,0.000
1711108240.353,-101.562,-314.453,-136.719,144.531,0.000
1711108240.357,-871.094,-1000.000,-1000.000,-765.137,0.000
1711108240.361,705.566,-176.758,-296.875,234.863,0.000
1711108240.365,-660.645,-998.047,945.312,-993.652,0.000
1711108240.369,-1000.000,-964.355,-922.852,-1000.000,0.000
1711108240.372,-174.316,-90.820,55.664,-57.617,0.000
1711108240.376,-981.934,-1000.000,-1000.000,-797.852,0.000
1711108240.380,984.863,-297.363,-484.863,430.176,0.000
1711108240.384,-244.141,945.801,854.980,-896.973,0.000
1711108240.388,-1000.000,-920.898,-876.953,-1000.000,0.000
1711108240.392,-171.875,81.543,185.547,-236.816,0.000
1711108240.396,992.676,-1000.000,-1000.000,-890.625,0.000
1711108240.400,-944.824,-530.762,-731.445,679.199,0.000
1711108240.404,-6.348,831.055,645.996,-710.449,0.000
1711108240.408,-1000.000,-868.164,-828.125,-1000.000,0.000
1711108240.412,-248.047,180.176,162.598,-200.684,0.000
1711108240.415,960.938,-1000.000,-1000.000,-956.543,0.000
1711108240.419,-916.504,-767.090,-956.055,906.250,0.000
1711108240.423,194.824,603.516,322.266,-392.090,0.000
1711108240.427,-1000.000,-816.406,-781.738,-1000.000,0.000
1711108240.431,-413.574,145.020,169.922,-176.758,0.000
1711108240.435,910.156,-1000.000,-1000.000,-997.559,0.000
1711108240.439,-897.949,-1000.000,-1000.000,-972.656,0.000
1711108240.443,207.520,104.492,38.086,-111.816,0.000
1711108240.447,-1000.000,-773.438,-778.320,-1000.000,0.000
1711108240.451,-659.180,193.359,337.891,-353.027,0.000
1711108240.454,728.516,-1000.000,-946.289,920.410,0.000
1711108240.458,-846.191,-1000.000,-1000.000,-910.645,0.000
1711108240.462,172.852,84.473,-133.301,76.172,0.000
1711108240.466,-1000.000,-774.902,-830.566,-1000.000,0.000
1711108240.470,-883.301,354.004,528.320,-531.738,0.000
1711108240.474,420.898,-933.105,-837.402,828.613,0.000
1711108240.478,-796.387,-1000.000,-1000.000,-867.188,0.000
1711108240.482,295.898,-131.348,-220.215,190.430,0.000
1711108240.486,-994.141,-845.215,-922.363,-1000.000,0.000
1711108240.490,-1000.000,601.074,791.504,-784.668,0.000
1711108240.493,162.109,-769.531,-561.035,584.961,0.000
1711108240.497,-793.457,-1000.000,-1000.000,-817.871,0.000
1711108240.501,469.238,-208.984,-186.035,158.203,0.000
1711108240.505,-876.953,-942.383,-982.422,-1000.000,0.000
1711108240.509,-1000.000,859.375,987.305,-981.934,0.000
1711108240.513,-26.855,-463.867,-231.445,286.621,0.000
1711108240.517,-861.816,-1000.000,-1000.000,-778.320,0.000
1711108240.521,699.707,-181.152,-229.980,139.648,0.000
1711108240.525,-637.207,-990.723,975.098,-1000.000,0.000
1711108240.529,-1000.000,-986.816,-943.359,-1000.000,0.000
1711108240.533,-162.598,-172.363,-9.766,38.574,0.000
1711108240.536,-969.238,-1000.000,-1000.000,-774.902,0.000
1711108240.540,959.961,-241.699,-419.434,333.008,0.000
1711108240.544,-283.203,973.633,885.742,-947.266,0.000
1711108240.548,-1000.000,-941.895,-890.137,-1000.000,0.000
1711108240.552,-175.293,-5.371,169.922,-151.855,0.000
1711108240.556,998.047,-1000.000,-1000.000,-830.566,0.000
1711108240.560,-953.125,-440.430,-641.602,530.762,0.000
1711108240.564,-67.871,871.582,743.652,-848.145,0.000
1711108240.568,-1000.000,-881.836,-847.168,-1000.000,0.000
1711108240.572,-174.316,197.754,174.316,-218.262,0.000
1711108240.576,986.816,-1000.000,-1000.000,-927.734,0.000
